#t(s),u(V)
-0.000020000000000000,0.012000000000000000
-0.000019996000000000,0.016000000000000000
-0.000019992000000000,0.012000000000000000
-0.000019988000000000,0.012000000000000000
-0.000019984000000000,0.016000000000000000
-0.000019980000000000,0.016000000000000000
-0.000019976000000000,0.012000000000000000
-0.000019972000000000,0.012000000000000000
-0.000019968000000000,0.012000000000000000
-0.000019964000000000,0.008000000000000000
-0.000019960000000000,0.016000000000000000
-0.000019956000000000,0.012000000000000000
-0.000019952000000000,0.012000000000000000
-0.000019948000000000,0.012000000000000000
-0.000019944000000000,0.012000000000000000
-0.000019940000000000,0.016000000000000000
-0.000019936000000000,0.008000000000000000
-0.000019932000000000,0.012000000000000000
-0.000019928000000000,0.016000000000000000
-0.000019924000000000,0.012000000000000000
-0.000019920000000000,0.016000000000000000
-0.000019916000000000,0.016000000000000000
-0.000019912000000000,0.012000000000000000
-0.000019908000000000,0.016000000000000000
-0.000019904000000000,0.012000000000000000
-0.000019900000000000,0.008000000000000000
-0.000019896000000000,0.016000000000000000
-0.000019892000000000,0.016000000000000000
-0.000019888000000000,0.012000000000000000
-0.000019884000000000,0.012000000000000000
-0.000019880000000000,0.020000000000000000
-0.000019876000000000,0.012000000000000000
-0.000019872000000000,0.016000000000000000
-0.000019868000000000,0.016000000000000000
-0.000019864000000000,0.008000000000000000
-0.000019860000000000,0.004000000000000000
-0.000019856000000000,0.016000000000000000
-0.000019852000000000,0.008000000000000000
-0.000019848000000000,0.016000000000000000
-0.000019844000000000,0.012000000000000000
-0.000019840000000000,0.012000000000000000
-0.000019836000000000,0.012000000000000000
-0.000019832000000000,0.020000000000000000
-0.000019828000000000,0.012000000000000000
-0.000019824000000000,0.012000000000000000
-0.000019820000000000,0.016000000000000000
-0.000019816000000000,0.008000000000000000
-0.000019812000000000,0.008000000000000000
-0.000019808000000000,0.012000000000000000
-0.000019804000000000,0.012000000000000000
-0.000019800000000000,0.012000000000000000
-0.000019796000000000,0.016000000000000000
-0.000019792000000000,0.012000000000000000
-0.000019788000000000,0.012000000000000000
-0.000019784000000000,0.012000000000000000
-0.000019780000000000,0.012000000000000000
-0.000019776000000000,0.012000000000000000
-0.000019772000000000,0.016000000000000000
-0.000019768000000000,0.016000000000000000
-0.000019764000000000,0.016000000000000000
-0.000019760000000000,0.012000000000000000
-0.000019756000000000,0.012000000000000000
-0.000019752000000000,0.012000000000000000
